2D/3D B M d delta AcceptanceProbability NumberOfPerturbations
2 50 200 0.5 0 1.000000 100000
2 50 200 0.5 1 0.968880 100000
2 50 200 0.5 2 0.933860 100000
2 50 200 0.5 3 0.897950 100000
2 50 200 0.5 4 0.862700 100000
2 50 200 0.5 5 0.828160 100000
2 50 200 0.5 6 0.796550 100000
2 50 200 0.5 7 0.763990 100000
2 50 200 0.5 8 0.730780 100000
2 50 200 0.5 9 0.699430 100000
2 50 200 0.5 10 0.676840 100000
2 50 200 0.5 11 0.643160 100000
2 50 200 0.5 12 0.618260 100000
2 50 200 0.5 13 0.587330 100000
2 50 200 0.5 14 0.564300 100000
2 50 200 0.5 15 0.540300 100000
2 50 200 0.5 16 0.517490 100000
2 50 200 0.5 17 0.495290 100000
2 50 200 0.5 18 0.474260 100000
2 50 200 0.5 19 0.458650 100000
2 50 200 0.5 20 0.438610 100000
2 50 200 0.5 21 0.422610 100000
2 50 200 0.5 22 0.405980 100000
2 50 200 0.5 23 0.389030 100000
2 50 200 0.5 24 0.375460 100000
2 50 200 0.5 25 0.359670 100000
2 50 200 0.5 26 0.347480 100000
2 50 200 0.5 27 0.335990 100000
2 50 200 0.5 28 0.325170 100000
2 50 200 0.5 29 0.313020 100000
2 50 200 0.5 30 0.304910 100000
2 50 200 0.5 31 0.295430 100000
2 50 200 0.5 32 0.285920 100000
2 50 200 0.5 33 0.277260 100000
2 50 200 0.5 34 0.266230 100000
2 50 200 0.5 35 0.260790 100000
2 50 200 0.5 36 0.253890 100000
2 50 200 0.5 37 0.247020 100000
2 50 200 0.5 38 0.240190 100000
2 50 200 0.5 39 0.234510 100000
2 50 200 0.5 40 0.226750 100000
2 50 200 0.5 41 0.222770 100000
2 50 200 0.5 42 0.216760 100000
2 50 200 0.5 43 0.212800 100000
2 50 200 0.5 44 0.208150 100000
2 50 200 0.5 45 0.203700 100000
2 50 200 0.5 46 0.199350 100000
2 50 200 0.5 47 0.196920 100000
2 50 200 0.5 48 0.190360 100000
2 50 200 0.5 49 0.187410 100000
2 50 200 0.5 50 0.183280 100000
2 50 200 0.5 51 0.180140 100000
2 50 200 0.5 52 0.175660 100000
2 50 200 0.5 53 0.174160 100000
2 50 200 0.5 54 0.167120 100000
2 50 200 0.5 55 0.167430 100000
2 50 200 0.5 56 0.164700 100000
2 50 200 0.5 57 0.159970 100000
2 50 200 0.5 58 0.157550 100000
2 50 200 0.5 59 0.155040 100000
2 50 200 0.5 60 0.154110 100000
2 50 200 0.5 61 0.151110 100000
2 50 200 0.5 62 0.145820 100000
2 50 200 0.5 63 0.144180 100000
2 50 200 0.5 64 0.141860 100000
2 50 200 0.5 65 0.141330 100000
2 50 200 0.5 66 0.138130 100000
2 50 200 0.5 67 0.135760 100000
2 50 200 0.5 68 0.134520 100000
2 50 200 0.5 69 0.132120 100000
2 50 200 0.5 70 0.132530 100000
2 50 200 0.5 71 0.130440 100000
2 50 200 0.5 72 0.125670 100000
2 50 200 0.5 73 0.122890 100000
2 50 200 0.5 74 0.124340 100000
2 50 200 0.5 75 0.123180 100000
2 50 200 0.5 76 0.119180 100000
2 50 200 0.5 77 0.119530 100000
2 50 200 0.5 78 0.116110 100000
2 50 200 0.5 79 0.115720 100000
2 50 200 0.5 80 0.114650 100000
2 50 200 0.5 81 0.113080 100000
2 50 200 0.5 82 0.110870 100000
2 50 200 0.5 83 0.111820 100000
2 50 200 0.5 84 0.106450 100000
2 50 200 0.5 85 0.106740 100000
2 50 200 0.5 86 0.105660 100000
2 50 200 0.5 87 0.105870 100000
2 50 200 0.5 88 0.103960 100000
2 50 200 0.5 89 0.102380 100000
2 50 200 0.5 90 0.100920 100000
2 50 200 0.5 91 0.100590 100000
2 50 200 0.5 92 0.098720 100000
2 50 200 0.5 93 0.098570 100000
2 50 200 0.5 94 0.097290 100000
2 50 200 0.5 95 0.095480 100000
2 50 200 0.5 96 0.095510 100000
2 50 200 0.5 97 0.093750 100000
2 50 200 0.5 98 0.094270 100000
2 50 200 0.5 99 0.093610 100000
2 50 200 0.5 100 0.090710 100000
2 50 200 0.5 101 0.090770 100000
2 50 200 0.5 102 0.087840 100000
2 50 200 0.5 103 0.087860 100000
2 50 200 0.5 104 0.088720 100000
2 50 200 0.5 105 0.086350 100000
2 50 200 0.5 106 0.085640 100000
2 50 200 0.5 107 0.085850 100000
2 50 200 0.5 108 0.084400 100000
2 50 200 0.5 109 0.086160 100000
2 50 200 0.5 110 0.082300 100000
2 50 200 0.5 111 0.081680 100000
2 50 200 0.5 112 0.081340 100000
2 50 200 0.5 113 0.081710 100000
2 50 200 0.5 114 0.079960 100000
2 50 200 0.5 115 0.079750 100000
2 50 200 0.5 116 0.077710 100000
2 50 200 0.5 117 0.076820 100000
2 50 200 0.5 118 0.077760 100000
2 50 200 0.5 119 0.077880 100000
2 50 200 0.5 120 0.076210 100000
2 50 200 0.5 121 0.074270 100000
2 50 200 0.5 122 0.074200 100000
2 50 200 0.5 123 0.074310 100000
2 50 200 0.5 124 0.073340 100000
2 50 200 0.5 125 0.072900 100000
2 50 200 0.5 126 0.073110 100000
2 50 200 0.5 127 0.073190 100000
2 50 200 0.5 128 0.069590 100000
2 50 200 0.5 129 0.069850 100000
2 50 200 0.5 130 0.070890 100000
2 50 200 0.5 131 0.069850 100000
2 50 200 0.5 132 0.069550 100000
2 50 200 0.5 133 0.069440 100000
2 50 200 0.5 134 0.067010 100000
2 50 200 0.5 135 0.067870 100000
2 50 200 0.5 136 0.068000 100000
2 50 200 0.5 137 0.067050 100000
2 50 200 0.5 138 0.066930 100000
2 50 200 0.5 139 0.066740 100000
2 50 200 0.5 140 0.064220 100000
2 50 200 0.5 141 0.064150 100000
2 50 200 0.5 142 0.063690 100000
2 50 200 0.5 143 0.063400 100000
2 50 200 0.5 144 0.063020 100000
2 50 200 0.5 145 0.061180 100000
2 50 200 0.5 146 0.062550 100000
2 50 200 0.5 147 0.060800 100000
2 50 200 0.5 148 0.061390 100000
2 50 200 0.5 149 0.060410 100000
2 50 200 0.5 150 0.059980 100000
2 50 200 0.5 151 0.059910 100000
2 50 200 0.5 152 0.058430 100000
2 50 200 0.5 153 0.059170 100000
2 50 200 0.5 154 0.059180 100000
2 50 200 0.5 155 0.058420 100000
2 50 200 0.5 156 0.058230 100000
2 50 200 0.5 157 0.058970 100000
2 50 200 0.5 158 0.056940 100000
2 50 200 0.5 159 0.057110 100000
2 50 200 0.5 160 0.056090 100000
2 50 200 0.5 161 0.056450 100000
2 50 200 0.5 162 0.056780 100000
2 50 200 0.5 163 0.055920 100000
2 50 200 0.5 164 0.055670 100000
2 50 200 0.5 165 0.056480 100000
2 50 200 0.5 166 0.055180 100000
2 50 200 0.5 167 0.054530 100000
2 50 200 0.5 168 0.054420 100000
2 50 200 0.5 169 0.053680 100000
2 50 200 0.5 170 0.053600 100000
2 50 200 0.5 171 0.051690 100000
2 50 200 0.5 172 0.052850 100000
2 50 200 0.5 173 0.051780 100000
2 50 200 0.5 174 0.052430 100000
2 50 200 0.5 175 0.052220 100000
2 50 200 0.5 176 0.051540 100000
2 50 200 0.5 177 0.051520 100000
2 50 200 0.5 178 0.051290 100000
2 50 200 0.5 179 0.050360 100000
2 50 200 0.5 180 0.049640 100000
2 50 200 0.6 0 1.000000 100000
2 50 200 0.6 1 0.971870 100000
2 50 200 0.6 2 0.939010 100000
2 50 200 0.6 3 0.906960 100000
2 50 200 0.6 4 0.873530 100000
2 50 200 0.6 5 0.846670 100000
2 50 200 0.6 6 0.816150 100000
2 50 200 0.6 7 0.782860 100000
2 50 200 0.6 8 0.754430 100000
2 50 200 0.6 9 0.724130 100000
2 50 200 0.6 10 0.701000 100000
2 50 200 0.6 11 0.674630 100000
2 50 200 0.6 12 0.642220 100000
2 50 200 0.6 13 0.621100 100000
2 50 200 0.6 14 0.594300 100000
2 50 200 0.6 15 0.570890 100000
2 50 200 0.6 16 0.553030 100000
2 50 200 0.6 17 0.530620 100000
2 50 200 0.6 18 0.509540 100000
2 50 200 0.6 19 0.489070 100000
2 50 200 0.6 20 0.470510 100000
2 50 200 0.6 21 0.455060 100000
2 50 200 0.6 22 0.440480 100000
2 50 200 0.6 23 0.420260 100000
2 50 200 0.6 24 0.407360 100000
2 50 200 0.6 25 0.389930 100000
2 50 200 0.6 26 0.379400 100000
2 50 200 0.6 27 0.365770 100000
2 50 200 0.6 28 0.356110 100000
2 50 200 0.6 29 0.342210 100000
2 50 200 0.6 30 0.329820 100000
2 50 200 0.6 31 0.317560 100000
2 50 200 0.6 32 0.313620 100000
2 50 200 0.6 33 0.300630 100000
2 50 200 0.6 34 0.294010 100000
2 50 200 0.6 35 0.283020 100000
2 50 200 0.6 36 0.277940 100000
2 50 200 0.6 37 0.272830 100000
2 50 200 0.6 38 0.263260 100000
2 50 200 0.6 39 0.255670 100000
2 50 200 0.6 40 0.252500 100000
2 50 200 0.6 41 0.245330 100000
2 50 200 0.6 42 0.236580 100000
2 50 200 0.6 43 0.234130 100000
2 50 200 0.6 44 0.227870 100000
2 50 200 0.6 45 0.222790 100000
2 50 200 0.6 46 0.217380 100000
2 50 200 0.6 47 0.211180 100000
2 50 200 0.6 48 0.208530 100000
2 50 200 0.6 49 0.201140 100000
2 50 200 0.6 50 0.200870 100000
2 50 200 0.6 51 0.198820 100000
2 50 200 0.6 52 0.191460 100000
2 50 200 0.6 53 0.188120 100000
2 50 200 0.6 54 0.182940 100000
2 50 200 0.6 55 0.181760 100000
2 50 200 0.6 56 0.178780 100000
2 50 200 0.6 57 0.174060 100000
2 50 200 0.6 58 0.174300 100000
2 50 200 0.6 59 0.169060 100000
2 50 200 0.6 60 0.166290 100000
2 50 200 0.6 61 0.163460 100000
2 50 200 0.6 62 0.161050 100000
2 50 200 0.6 63 0.158270 100000
2 50 200 0.6 64 0.155090 100000
2 50 200 0.6 65 0.154630 100000
2 50 200 0.6 66 0.151040 100000
2 50 200 0.6 67 0.150920 100000
2 50 200 0.6 68 0.146480 100000
2 50 200 0.6 69 0.145880 100000
2 50 200 0.6 70 0.142010 100000
2 50 200 0.6 71 0.140610 100000
2 50 200 0.6 72 0.137190 100000
2 50 200 0.6 73 0.138300 100000
2 50 200 0.6 74 0.135010 100000
2 50 200 0.6 75 0.131880 100000
2 50 200 0.6 76 0.131950 100000
2 50 200 0.6 77 0.130160 100000
2 50 200 0.6 78 0.128560 100000
2 50 200 0.6 79 0.128380 100000
2 50 200 0.6 80 0.123390 100000
2 50 200 0.6 81 0.124180 100000
2 50 200 0.6 82 0.121530 100000
2 50 200 0.6 83 0.119470 100000
2 50 200 0.6 84 0.118800 100000
2 50 200 0.6 85 0.117500 100000
2 50 200 0.6 86 0.115710 100000
2 50 200 0.6 87 0.116850 100000
2 50 200 0.6 88 0.112590 100000
2 50 200 0.6 89 0.112960 100000
2 50 200 0.6 90 0.113760 100000
2 50 200 0.6 91 0.109270 100000
2 50 200 0.6 92 0.109970 100000
2 50 200 0.6 93 0.108560 100000
2 50 200 0.6 94 0.105720 100000
2 50 200 0.6 95 0.104380 100000
2 50 200 0.6 96 0.102870 100000
2 50 200 0.6 97 0.101110 100000
2 50 200 0.6 98 0.100690 100000
2 50 200 0.6 99 0.101850 100000
2 50 200 0.6 100 0.099520 100000
2 50 200 0.6 101 0.097780 100000
2 50 200 0.6 102 0.101190 100000
2 50 200 0.6 103 0.097720 100000
2 50 200 0.6 104 0.093270 100000
2 50 200 0.6 105 0.096530 100000
2 50 200 0.6 106 0.092650 100000
2 50 200 0.6 107 0.093690 100000
2 50 200 0.6 108 0.091290 100000
2 50 200 0.6 109 0.091910 100000
2 50 200 0.6 110 0.092360 100000
2 50 200 0.6 111 0.089470 100000
2 50 200 0.6 112 0.089800 100000
2 50 200 0.6 113 0.087350 100000
2 50 200 0.6 114 0.088920 100000
2 50 200 0.6 115 0.086470 100000
2 50 200 0.6 116 0.086850 100000
2 50 200 0.6 117 0.085080 100000
2 50 200 0.6 118 0.083610 100000
2 50 200 0.6 119 0.083990 100000
2 50 200 0.6 120 0.082990 100000
2 50 200 0.6 121 0.082510 100000
2 50 200 0.6 122 0.082940 100000
2 50 200 0.6 123 0.082330 100000
2 50 200 0.6 124 0.080120 100000
2 50 200 0.6 125 0.080140 100000
2 50 200 0.6 126 0.078780 100000
2 50 200 0.6 127 0.078890 100000
2 50 200 0.6 128 0.079040 100000
2 50 200 0.6 129 0.076990 100000
2 50 200 0.6 130 0.077420 100000
2 50 200 0.6 131 0.076900 100000
2 50 200 0.6 132 0.074860 100000
2 50 200 0.6 133 0.075090 100000
2 50 200 0.6 134 0.075270 100000
2 50 200 0.6 135 0.074570 100000
2 50 200 0.6 136 0.073950 100000
2 50 200 0.6 137 0.072540 100000
2 50 200 0.6 138 0.072890 100000
2 50 200 0.6 139 0.072150 100000
2 50 200 0.6 140 0.071920 100000
2 50 200 0.6 141 0.072300 100000
2 50 200 0.6 142 0.070380 100000
2 50 200 0.6 143 0.069320 100000
2 50 200 0.6 144 0.070360 100000
2 50 200 0.6 145 0.067880 100000
2 50 200 0.6 146 0.068720 100000
2 50 200 0.6 147 0.067940 100000
2 50 200 0.6 148 0.067460 100000
2 50 200 0.6 149 0.065630 100000
2 50 200 0.6 150 0.065930 100000
2 50 200 0.6 151 0.067160 100000
2 50 200 0.6 152 0.064910 100000
2 50 200 0.6 153 0.065000 100000
2 50 200 0.6 154 0.062680 100000
2 50 200 0.6 155 0.064570 100000
2 50 200 0.6 156 0.065580 100000
2 50 200 0.6 157 0.063550 100000
2 50 200 0.6 158 0.064140 100000
2 50 200 0.6 159 0.062610 100000
2 50 200 0.6 160 0.061950 100000
2 50 200 0.6 161 0.061170 100000
2 50 200 0.6 162 0.063210 100000
2 50 200 0.6 163 0.061470 100000
2 50 200 0.6 164 0.061560 100000
2 50 200 0.6 165 0.059870 100000
2 50 200 0.6 166 0.060760 100000
2 50 200 0.6 167 0.061160 100000
2 50 200 0.6 168 0.058690 100000
2 50 200 0.6 169 0.058040 100000
2 50 200 0.6 170 0.058120 100000
2 50 200 0.6 171 0.057950 100000
2 50 200 0.6 172 0.057820 100000
2 50 200 0.6 173 0.057910 100000
2 50 200 0.6 174 0.057190 100000
2 50 200 0.6 175 0.056620 100000
2 50 200 0.6 176 0.056710 100000
2 50 200 0.6 177 0.056230 100000
2 50 200 0.6 178 0.055730 100000
2 50 200 0.6 179 0.055880 100000
2 50 200 0.6 180 0.055010 100000
2 50 200 0.7 0 1.000000 100000
2 50 200 0.7 1 0.974700 100000
2 50 200 0.7 2 0.942000 100000
2 50 200 0.7 3 0.914910 100000
2 50 200 0.7 4 0.886040 100000
2 50 200 0.7 5 0.855240 100000
2 50 200 0.7 6 0.825740 100000
2 50 200 0.7 7 0.799340 100000
2 50 200 0.7 8 0.774150 100000
2 50 200 0.7 9 0.744490 100000
2 50 200 0.7 10 0.718090 100000
2 50 200 0.7 11 0.694480 100000
2 50 200 0.7 12 0.669940 100000
2 50 200 0.7 13 0.644680 100000
2 50 200 0.7 14 0.623800 100000
2 50 200 0.7 15 0.601160 100000
2 50 200 0.7 16 0.573620 100000
2 50 200 0.7 17 0.555810 100000
2 50 200 0.7 18 0.538300 100000
2 50 200 0.7 19 0.518650 100000
2 50 200 0.7 20 0.497770 100000
2 50 200 0.7 21 0.480530 100000
2 50 200 0.7 22 0.464980 100000
2 50 200 0.7 23 0.448690 100000
2 50 200 0.7 24 0.432130 100000
2 50 200 0.7 25 0.420770 100000
2 50 200 0.7 26 0.409290 100000
2 50 200 0.7 27 0.392650 100000
